"Order","Family","Genus","Binomial","Female2n","Sex.chromosome.system","Source"
"Carnivora","Felidae","Felis","Felis concolor",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis geoffroyi",36,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis lynx",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis manul",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis margarita",38,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Felidae","Felis","Felis marmorata",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis nigripes",38,"XY","Nash (Unpublished)"
"Carnivora","Felidae","Felis","Felis pardalis",36,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis serval",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis silvestris",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis viverrina",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis wiedi",36,"XY","Blackmon 2019"
"Carnivora","Felidae","Felis","Felis yagouaroundi",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Herpailurus","Herpailurus yagouaroundi",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Leopardus","Leopardus colocolo",36,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Leopardus","Leopardus geoffroyi",36,"XY","Nash (Unpublished)"
"Carnivora","Felidae","Leopardus","Leopardus pardalis",36,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Felidae","Leopardus","Leopardus tigrinus",38,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Felidae","Leopardus","Leopardus tigrinus",36,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Felidae","Leptailurus","Leptailurus serval",38,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Felidae","Lynchailurus","Lynchailurus colocolo",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Lynx","Lynx lynx",38,"XY","Nie et al. 2012"
"Carnivora","Felidae","Lynx","Lynx rufus",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Neofelis","Neofelis nebulosa",38,"XY","Tian et al. 2004"
"Carnivora","Felidae","Neofelis","Neofelis nebulosa diardi",38,"XY","Nash (Unpublished)"
"Carnivora","Felidae","Octocolobus","Octocolobus manul",38,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Felidae","Panthera","Panthera leo",38,"XY","Tian et al. 2004"
"Carnivora","Felidae","Panthera","Panthera pardus",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Panthera","Panthera tigris",38,"XY","Blackmon 2019"
"Carnivora","Felidae","Panthera","Panthera tigris altaica",38,"XY","CRES San Diego (Unpublished)"
"Carnivora","Felidae","Prionailurus","Prionailurus bengalensis",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Prionailurus","Prionailurus bengalensis euptilurus",38,"XY","Proskuryakova et al. (Unpublished)"
"Carnivora","Felidae","Prionailurus","Prionailurus viverrinus",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Profelis","Profelis temmincki",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Puma","Puma concolor",38,"XY","Wurster-Hill and Gray 1973"
"Carnivora","Felidae","Uncia","Uncia uncia",38,"XY","Blackmon 2019"
"Carnivora","Herpestidae","Atilax","Atilax paludinosus",36,"complex XY","Wurster-Hill and Gray 1975"
"Carnivora","Herpestidae","Bdeogale","Bdeogale sp.",36,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Herpestidae","Helogale","Helogale parvula",36,"XY","Nash (Unpublished)"
"Carnivora","Herpestidae","Herpestes","Herpestes auropunctatus",36,"complex XY","Blackmon 2019"
"Carnivora","Herpestidae","Herpestes","Herpestes javanicus",36,"XY","Yang and Nie (Unpublished)"
"Carnivora","Herpestidae","Suricata","Suricata suricatta",36,"XY","Blackmon 2019"
"Carnivora","Hyaenidae","Crocuta","Crocuta crocuta",40,"XY","Perelman et al. 2005"
"Carnivora","Hyaenidae","Hyaena","Hyaena brunnea",40,"XY","Blackmon 2019"
"Carnivora","Hyaenidae","Parahyaena","Parahyaena brunnea",40,"XY","Perelman and Graphodatsky (Unpublished)"
"Carnivora","Hyaenidae","Proteles","Proteles cristatus",40,"XY","Blackmon 2019"
"Carnivora","Mephitidae","Conepatus","Conepatus leuconotus",46,"XY","Perelman et al. 2008"
"Carnivora","Mephitidae","Mephitis","Mephitis macroura",50,"XY","Perelman et al. 2008"
"Carnivora","Mephitidae","Mephitis","Mephitis mephitis",50,"XY","Perelman et al. 2008"
"Carnivora","Mephitidae","Spilogale","Spilogale gracilis",60,"XY","Perelman et al. 2008"
"Carnivora","Mustelidae","Amblonyx","Amblonyx cinerea",38,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Eira","Eira barbara",38,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Mustelidae","Enhydra","Enhydra lutris",38,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Galictis","Galictis vittata",38,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Mustelidae","Gulo","Gulo gulo",42,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Ictonyx","Ictonyx striatus",38,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Lutra","Lutra lutra",36,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Lutra","Lutra lutra",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Martes","Martes americana",38,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Martes","Martes flavigula",40,"XY","Nie et al. 2002"
"Carnivora","Mustelidae","Martes","Martes foina",38,"XY","Nie et al. 2002"
"Carnivora","Mustelidae","Martes","Martes martes",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Martes","Martes melampus",38,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Martes","Martes zibellina",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Meles","Meles meles",44,"XY","Nie et al. 2002"
"Carnivora","Mustelidae","Mellivora","Mellivora capensis",40,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Mustelidae","Melogale","Melogale moschata",38,"XY","Nie et al. 2002"
"Carnivora","Mustelidae","Melogale","Melogale sp.",38,"XY","Wurster-Hill and Centerwall 1982"
"Carnivora","Mustelidae","Mustela","Mustela altaica",44,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Mustela","Mustela erminea",44,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela eversmanni",38,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Mustela","Mustela frenata",42,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Mustela","Mustela itatsi",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela lutreola",38,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Mustela","Mustela nigripes",38,"XY","Houck (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela nivalis",42,"XY","Perelman and Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela putorius furo",40,"XY","Cavagna et al. 2000"
"Carnivora","Mustelidae","Mustela","Mustela putorius putorius",40,"XY","Graphodatsky et al. 2002"
"Carnivora","Mustelidae","Mustela","Mustela sibirica",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela sibirica itatsi",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Mustelidae","Mustela","Mustela vison",30,"XY","Serov (1998)"
"Carnivora","Mustelidae","Spilogale","Spilogale gracilis latifrons",60,"XY","Benirschke 1969"
"Carnivora","Mustelidae","Spilogale","Spilogale putorius",64,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Spilogale","Spilogale putorius interrupta",64,"XY","Benirschke 1969"
"Carnivora","Mustelidae","Taxidea","Taxidea taxus",32,"XY","Blackmon 2019"
"Carnivora","Mustelidae","Vormela","Vormela peregusna",38,"XY","Graphodatsky (Unpublished)"
"Carnivora","Nandiniidae","Nandinia","Nandinia binotata",38,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Odobenidae","Odobenus","Odobenus rosmarus",32,"XY","Arnason 1977"
"Carnivora","Otariidae","Arctocephalus","Arctocephalus forsteri",36,"XY","Beklemisheva (Unpublished)"
"Carnivora","Otariidae","Arctocephalus","Arctocephalus pusillus",36,"XY","Arnason 1977"
"Carnivora","Otariidae","Callorhinus","Callorhinus ursinus",36,"XY","Arnason 1977"
"Carnivora","Otariidae","Eumetopias","Eumetopias jubatus",36,"XY","Arnason 1974b"
"Carnivora","Otariidae","Phocarctos","Phocarctos hookeri",36,"XY","Beklemisheva (Unpublished)"
"Carnivora","Otariidae","Zalophus","Zalophus californianus",36,"XY","Arnason 1974a"
"Carnivora","Phocidae","Cystophora","Cystophora cristata",34,"XY","Arnason 1974b"
"Carnivora","Phocidae","Erignathus","Erignathus barbatus",34,"XY","Arnason 1974b"
"Carnivora","Phocidae","Halichoerus","Halichoerus grypus",32,"XY","Arnason 1970a"
"Carnivora","Phocidae","Leptonychotes","Leptonychotes weddelli",34,"XY","Arnason 1974b"
"Carnivora","Phocidae","Mirounga","Mirounga angustirostris",34,"XY","Arnason 1974b"
"Carnivora","Phocidae","Monachus","Monachus schauinslandi",34,"XY","Arnason 1974b"
"Carnivora","Phocidae","Pagophilus","Pagophilus groenlandicus",32,"XY","Blackmon 2019"
"Carnivora","Phocidae","Phoca","Phoca fasciata",32,"XY","Arnason 1977"
"Carnivora","Phocidae","Phoca","Phoca groenlandica",32,"XY","Arnason 1974c"
"Carnivora","Phocidae","Phoca","Phoca largha",32,"XY","Beklemisheva (Unpublished)"
"Carnivora","Phocidae","Phoca","Phoca vitulina",32,"XY","Fronicke et al. 1997"
"Carnivora","Phocidae","Pusa","Pusa hispida",32,"XY","Arnason 1974c"
"Carnivora","Phocidae","Pusa","Pusa sibirica",32,"XY","Beklemisheva et al. 2016"
"Carnivora","Procyonidae","Ailurus","Ailurus fulgens",36,"XY","Ni et al. 2002"
"Carnivora","Procyonidae","Bassariscus","Bassariscus astutus",38,"XY","Nash et al. 2008"
"Carnivora","Procyonidae","Brassaricyon","Brassaricyon sp.",38,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Procyonidae","Nasua","Nasua nasua",38,"XY","Blackmon 2019"
"Carnivora","Procyonidae","Potos","Potos flavus",38,"XY","CRES San Diego (Unpublished)"
"Carnivora","Procyonidae","Procyon","Procyon lotor",38,"XY","Stanyon et al. 1993"
"Carnivora","Ursidae","Ailuropoda","Ailuropoda melanoleuca",42,"XY","Nash et al. 2001"
"Carnivora","Ursidae","Helarctos","Helarctos malayanus",74,"XY","Blackmon 2019"
"Carnivora","Ursidae","Selenarctos","Selenarctos thibetanus",74,"XY","Blackmon 2019"
"Carnivora","Ursidae","Tremarctos","Tremarctos ornatus",52,"XY","Nash et al. 1998"
"Carnivora","Ursidae","Ursus","Ursus americanus",74,"XY","Nash and O'Brien 1987"
"Carnivora","Ursidae","Ursus","Ursus arctos",74,"XY","Nash and O'Brien 1987"
"Carnivora","Ursidae","Ursus","Ursus malayanus",74,"XY","Nash and O'Brien 1987"
"Carnivora","Ursidae","Ursus","Ursus maritimus",74,"XY","Nash and O'Brien 1987"
"Carnivora","Ursidae","Ursus","Ursus thibetanus",74,"XY","Nash and O'Brien 1987"
"Carnivora","Ursidae","Ursus","Ursus ursinus",74,"XY","Nash and O'Brien 1987"
"Carnivora","Viverridae","Arctictis","Arctictis binturong",42,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Viverridae","Arctogalidia","Arctogalidia trivirgata stigmatica",40,"XY","Blackmon 2019"
"Carnivora","Viverridae","Genetta","Genetta genetta",54,"XY","CRES San Diego (Unpublished)"
"Carnivora","Viverridae","Genetta","Genetta genetta neumanni",52,"XY","Blackmon 2019"
"Carnivora","Viverridae","Genetta","Genetta johnstoni",50,"XY","Gaubert et al. 2004"
"Carnivora","Viverridae","Genetta","Genetta maculata",52,"XY","Matoso Silva et al. 2016"
"Carnivora","Viverridae","Genetta","Genetta pardina",52,"XY","Beklemisheva (Unpublished)"
"Carnivora","Viverridae","Genetta","Genetta tigrina",54,"XY","CRES San Diego (Unpublished)"
"Carnivora","Viverridae","Hemigalus","Hemigalus derbyanus",42,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Viverridae","Paguma","Paguma larvata",44,"XY","Perelman et al. 2005"
"Carnivora","Viverridae","Paradoxurus","Paradoxurus hermaphroditicus",42,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Viverridae","Prionodon","Prionodon linsang",34,"XY","Wurster-Hill and Gray 1975"
"Carnivora","Viverridae","Viverricula","Viverricula indica",36,"XY","Nie et al. 2012"
"Carnivora","Viverridae","Viverricula","Viverricula indica",38,"XY","Wurster-Hill and Gray 1975"
"Chiroptera","Emballonuridae","Cormura","Cormura brevirostris",22,"XY","Araujo et al. 2016"
"Chiroptera","Emballonuridae","Taphozous","Taphozous longimanus",42,"XY","Sreepada et al. 1995"
"Chiroptera","Emballonuridae","Taphozous","Taphozous melanopogon",42,"XY","Sreepada et al. 1995"
"Chiroptera","Emballonuridae","Taphozous","Taphozous nudiventris",42,"XY","Sreepada et al. 1995"
"Chiroptera","Emballonuridae","Taphozous","Taphozous saccolaimus",44,"XY","Sreepada et al. 1995"
"Chiroptera","Hipposideridae","Aselliscus","Aselliscus stoliczkanus",30,"XY","Ao et al. 2007"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros armiger",32,"XY","Mao et al. 2010"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros ater",32,"XY","Sreepada et al. 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros cineraceus",32,"XY","Sreepada et al. 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros fulvus",32,"XY","Sreepada et al. 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros fulvus pallidus",32,"XY","Choudhury and Patro 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros lankadiva",32,"XY","Sreepada et al. 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros larvatus",32,"XY","Volleth et al. 2002"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros pomona",32,"XY","Sreepada et al. 1993"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros pratti",32,"XY","Mao et al. 2010"
"Chiroptera","Hipposideridae","Hipposideros","Hipposideros speoris",32,"XY","Sreepada et al. 1993"
"Chiroptera","Megadermatidae","Megaderma","Megaderma lyra",54,"XY","Choudhury and Mohanty 1993"
"Chiroptera","Megadermatidae","Megaderma","Megaderma spasma",38,"XY","Morielle-Versute et al. 1992"
"Chiroptera","Miniopteridae","Miniopterus","Miniopterus fuliginosus",46,"XY","Ao et al.2006"
"Chiroptera","Molossidae","Chaerephon","Chaerephon plicatus",48,"XY","Mao et al. 2007b"
"Chiroptera","Molossidae","Eumops","Eumops glaucinus",40,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Eumops","Eumops perotis",48,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Molossops","Molossops abrasus",34,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Molossops","Molossops temminckii",48,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Molossus","Molossus molossus",48,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Molossus","Molossus rufus",48,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Nyctinomops","Nyctinomops laticaudatus",48,"XY","Morielle-Versute et al. 1996"
"Chiroptera","Molossidae","Tadarida","Tadarida brasiliensis",48,"XY","Blackmon 2019"
"Chiroptera","Molossidae","Tadarida","Tadarida teniotis",48,"XY","Mao et al. 2008"
"Chiroptera","Mormoopidae","Mormoops","Mormoops blainvillii",38,"XY","Sites et al. 1981"
"Chiroptera","Mormoopidae","Pteronotus","Pteronotus gymnonotus",38,"XY","Sites et al. 1981"
"Chiroptera","Mormoopidae","Pteronotus","Pteronotus macleayii",38,"XY","Sites et al. 1981"
"Chiroptera","Mormoopidae","Pteronotus","Pteronotus parnelii",38,"XY","Sites et al. 1981"
"Chiroptera","Mormoopidae","Pteronotus","Pteronotus personatus",38,"XY","Sites et al. 1981"
"Chiroptera","Mystacinidae","Mystacina","Mystacina tuberculata",36,"XY","Bickham et al. 1980"
"Chiroptera","Natalidae","Natalus","Natalus major",36,"XY","Hoyt and Baker 1980"
"Chiroptera","Natalidae","Natalus","Natalus tumidirostris",36,"XY","Blackmon 2019"
"Chiroptera","Noctilionidae","Noctilio","Noctilio albiventris",34,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Ametrida","Ametrida centurio",31,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Anoura","Anoura caudifera",30,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Anoura","Anoura cultrata",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Ardops","Ardops nichollsi",30,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Ardops","Ardops nichollsi",31,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Ariteus","Ariteus flavescens",30,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Artibeus","Artibeus jamaicensis",28,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Artibeus","Artibeus jamaicensis",30,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Artibeus","Artibeus lituratus",30,"complex XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Artibeus","Artibeus obscurus",30,"complex XY","Pieczarka et al. 2013"
"Chiroptera","Phyllostomidae","Artibeus","Artibeus toltecus",30,"complex XY","Blackmon 2019"
"Chiroptera","Phyllostomidae","Carollia","Carollia brevicauda",20,"complex XY","Stock 1975"
"Chiroptera","Phyllostomidae","Carollia","Carollia castanea",20,"XY","Blackmon 2019"
"Chiroptera","Phyllostomidae","Carollia","Carollia castanea",22,"XY","Stock 1975"
"Chiroptera","Phyllostomidae","Carollia","Carollia perspicillata",20,"complex XY","Teeling and Stanyon (Unpublished)"
"Chiroptera","Phyllostomidae","Carollia","Carollia subrufa",20,"complex XY","Blackmon 2019"
"Chiroptera","Phyllostomidae","Chiroderma","Chiroderma doriae",26,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Chiroderma","Chiroderma improvisum",26,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Chiroderma","Chiroderma villosum",26,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus godmani",20,"complex XY","Hsu et al. 1968"
"Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus itermedius",20,"XY","Stock 1975"
"Chiroptera","Phyllostomidae","Choeroniscus","Choeroniscus minor",20,"XY","Das Neves et al. 2001"
"Chiroptera","Phyllostomidae","Choeronycteris","Choeronycteris mexicana",16,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Chrotopterus","Chrotopterus auritus",28,"XY","Morielle-Versute et al. 1992"
"Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus",28,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Desmodus","Desmodus rotundus murius",28,"XY","Blackmon 2019"
"Chiroptera","Phyllostomidae","Diaemus","Diaemus youngi",32,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Diphylla","Diphylla ecaudata",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Ectophylla","Ectophylla alba",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Enchisthenes","Enchisthenes hartii",31,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Erophylla","Erophylla sezekorni",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Glossophaga","Glossophaga soricina",32,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Hylonycteris","Hylonycteris underwoodi",16,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lichonycteris","Lichonycteris obscura",24,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lionycteris","Lionycteris obscura",24,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lionycteris","Lionycteris spurrelli",28,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla concava",28,"XY","Sotero-Caio et al. 2013"
"Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla robusta",28,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lonchophylla","Lonchophylla thomasi",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Lonchorhina","Lonchorhina aurita",32,"XY","Barros et al. 2009"
"Chiroptera","Phyllostomidae","Lophostoma","Lophostoma occidentalis",34,"XY","Sotero-Caio et al. 2015"
"Chiroptera","Phyllostomidae","Lophostoma","Lophostoma silvicolum",34,"XY","Ribas et al. 2015"
"Chiroptera","Phyllostomidae","Macrotus","Macrotus californicus",40,"XY","Sotero-Caio et al. 2013"
"Chiroptera","Phyllostomidae","Macrotus","Macrotus waterhousii",46,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Mesophylla","Mesophylla macconnelli",22,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris brachyotis",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris hirsuta",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris hirsuta",26,"XY","Ribas et al. 2013"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris megalotis",40,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris minuta",28,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris nicefori",28,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Micronycteris","Micronycteris schmidtorum",38,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Mimon","Mimon crenulatum",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Monophyllus","Monophyllus redmani",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Phylloderma","Phylloderma stenops",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Phyllonycteris","Phyllonycteris poeyi",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Phyllops","Phyllops haitiensis",31,"complex XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Phyllostomus","Phyllostomus discolor",32,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Phyllostomus","Phyllostomus hastatus",32,"XY","Pieczarka et al. 2005"
"Chiroptera","Phyllostomidae","Phyllostomus","Phyllostomus hastatus",30,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Platyrrhinus","Platyrrhinus incarum",30,"XY","Gomes et al. 2016"
"Chiroptera","Phyllostomidae","Platyrrhinus","Platyrrhinus lineatus",30,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Platyrrhinus","Platyrrhinus vittatus",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Platyrrhinus","Platyrrhinus vittatus lineatus",30,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Rhinophyla","Rhinophyla fischerae",34,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Rhinophyla","Rhinophyla fischerae",38,"XY","Gomes et al. 2010"
"Chiroptera","Phyllostomidae","Rhinophyla","Rhinophyla pumilio",36,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Rhinophyla","Rhinophyla pumilio",34,"XY","Gomes et al. 2012"
"Chiroptera","Phyllostomidae","Sphaeronycteris","Sphaeronycteris toxophyllum",28,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Sturnina","Sturnina lilium",30,"XY","Varella-Garcia et al. 1989"
"Chiroptera","Phyllostomidae","Sturnira","Sturnira erythromos",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Sturnira","Sturnira mordax",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Tonatia","Tonatia bidens",16,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Tonatia","Tonatia saurophila",16,"XY","Sotero-Caio et al. 2017"
"Chiroptera","Phyllostomidae","Trachops","Trachops cirrhosus",30,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Uroderma","Uroderma bilobatum",44,"XY","Blackmon 2019"
"Chiroptera","Phyllostomidae","Uroderma","Uroderma magnirostrum",38,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Uroderma","Uroderma magnirostrum",36,"XY","Pieczarka et al. 2013"
"Chiroptera","Phyllostomidae","Vampyressa","Vampyressa bidens",26,"XY","Gomes et al. 2016"
"Chiroptera","Phyllostomidae","Vampyressa","Vampyressa brocki",24,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Vampyressa","Vampyressa nymphaea",26,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Vampyressa","Vampyressa pusilla",18,"XY","Baker et al. 1979"
"Chiroptera","Phyllostomidae","Vampyressa","Vampyressa thyone",24,"complex XY","Gomes et al. 2016"
"Chiroptera","Phyllostomidae","Vampyrodes","Vampyrodes caraccioli",30,"XY","Pieczarka et al. 2013"
"Chiroptera","Phyllostomidae","Vampyrum","Vampyrum spectrum",30,"XY","Baker et al. 1979"
"Chiroptera","Pteropodidae","Alionycteris","Alionycteris paucidentata",36,"XY","Rickart et al. 1999"
"Chiroptera","Pteropodidae","Casinycteris","Casinycteris ophiodon",34,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Cynopterus","Cynopterus sphinx",34,"XY","Ao et al. 2007"
"Chiroptera","Pteropodidae","Eidolon","Eidolon helvum",34,"XY","Houck (Unpublished)"
"Chiroptera","Pteropodidae","Eonycteris","Eonycteris robusta",36,"XY","Rickart et al. 1999"
"Chiroptera","Pteropodidae","Epomops","Epomops franqueti",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Hypsignathus","Hypsignathus monstrosus",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Megaloglossus","Megaloglossus woermanni",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Micropteropus","Micropteropus pusillus",34,"complex XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Myonycteris","Myonycteris torquata",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Otopteropus","Otopteropus cartilagonodus",48,"XY","Rickart et al. 1999"
"Chiroptera","Pteropodidae","Pteropus","Pteropus giganteus",38,"XY","Choudhury and Jena 1995"
"Chiroptera","Pteropodidae","Pteropus","Pteropus lylei",40,"XY","Hood et al. 1988"
"Chiroptera","Pteropodidae","Pteropus","Pteropus rodricensis",38,"XY","CRES San Diego (Unpublished)"
"Chiroptera","Pteropodidae","Rousettus","Rousettus aegyptiacus",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Rousettus","Rousettus angolensis",36,"XY","Haiduk et al. 1981"
"Chiroptera","Pteropodidae","Rousettus","Rousettus lanosus",36,"XY","Teeling and Stanyon (Unpublished)"
"Chiroptera","Pteropodidae","Rousettus","Rousettus leschenaulti",36,"XY","Sreeepada and Gururaj 1995"
